id_municipio,uf,municipio,longitude,latitude
4074,RS,Herval,-53.394362,-32.023985
4075,RS,Herveiras,-52.655314,-29.455239
4076,RS,Horizontina,-54.305336,-27.628238
4077,RS,Hulha Negra,-53.866702,-31.406721
4078,RS,Humaitá,-53.969525,-27.569065
4079,RS,Ibarama,-53.129493,-29.420321
4080,RS,Ibiaçá,-51.859851,-28.056556
4081,RS,Ibiraiaras,-51.63767,-28.374095
4082,RS,Ibirapuitã,-52.515796,-28.624707
4083,RS,Ibirubá,-53.096124,-28.630161
4084,RS,Igrejinha,-50.791894,-29.569318
4085,RS,Ijuí,-53.91996,-28.388048
4086,RS,Ilópolis,-52.125816,-28.92825
4087,RS,Imbé,-50.128068,-29.975269
4088,RS,Imigrante,-51.774752,-29.350776
4089,RS,Independência,-54.18864,-27.835411
4090,RS,Inhacorá,-54.014978,-27.875187
4092,RS,Ipiranga do Sul,-52.427124,-27.940366
4091,RS,Ipê,-51.285931,-28.817098
4093,RS,Iraí,-53.254322,-27.19507
4094,RS,Itaara,-53.772494,-29.601285
4095,RS,Itacurubi,-55.24467,-28.791281
4096,RS,Itapuca,-52.169283,-28.776844
4097,RS,Itaqui,-56.551478,-29.131051
5658,RS,Itati,-50.101571,-29.497386
4098,RS,Itatiba do Sul,-52.453776,-27.384631
4099,RS,Ivorá,-53.584214,-29.523224
4100,RS,Ivoti,-51.153326,-29.599463
4101,RS,Jaboticaba,-53.276173,-27.634703
5640,RS,Jacuizinho,-53.065694,-29.040118
4102,RS,Jacutinga,-52.53724,-27.729135
4104,RS,Jaguari,-54.702993,-29.493559
4103,RS,Jaguarão,-53.377027,-32.560378
4105,RS,Jaquirana,-50.363681,-28.881098
4106,RS,Jari,-54.223711,-29.292234
4107,RS,Jóia,-54.114131,-28.643484
4108,RS,Júlio de Castilhos,-53.677168,-29.229855
5642,RS,Lagoa Bonita do Sul,-53.016956,-29.493874
4111,RS,Lagoa Vermelha,-51.524815,-28.209335
4109,RS,Lagoa dos Três Cantos,-52.861848,-28.567611
4110,RS,Lagoão,-52.799698,-29.234796
4112,RS,Lajeado,-51.964427,-29.459086
4113,RS,Lajeado do Bugre,-53.181811,-27.69131
4114,RS,Lavras do Sul,-53.893077,-30.807056
4115,RS,Liberato Salzano,-53.07533,-27.600959
4116,RS,Lindolfo Collor,-51.214112,-29.585906
4117,RS,Linha Nova,-51.200297,-29.467929
4119,RS,Machadinho,-51.666805,-27.566669
4120,RS,Mampituba,-49.931105,-29.213628
4121,RS,Manoel Viana,-55.484112,-29.585935
4122,RS,Maquiné,-50.207859,-29.67983
4123,RS,Maratá,-51.55732,-29.545715
4124,RS,Marau,-52.198625,-28.449754
4125,RS,Marcelino Ramos,-51.909503,-27.467622
4126,RS,Mariana Pimentel,-51.580307,-30.353048
4127,RS,Mariano Moro,-52.146661,-27.356753
4128,RS,Marques de Souza,-52.097268,-29.331113
4129,RS,Mata,-54.464105,-29.564893
4130,RS,Mato Castelhano,-52.193231,-28.280019
4131,RS,Mato Leitão,-52.12776,-29.528474
5631,RS,Mato Queimado,-54.615862,-28.251988
4132,RS,Maximiliano de Almeida,-51.802049,-27.632518
4118,RS,Maçambara,-56.067444,-29.144485
4133,RS,Minas do Leão,-52.042257,-30.134576
4134,RS,Miraguaí,-53.689078,-27.49697
4135,RS,Montauri,-52.076728,-28.646161
4136,RS,Monte Alegre dos Campos,-50.783385,-28.680495
4137,RS,Monte Belo do Sul,-51.633263,-29.16074
4138,RS,Montenegro,-51.467903,-29.682414
4139,RS,Mormaço,-52.699916,-28.696814
4140,RS,Morrinhos do Sul,-49.932816,-29.357756
4141,RS,Morro Redondo,-52.626064,-31.588737
4142,RS,Morro Reuter,-51.081119,-29.537934
4143,RS,Mostardas,-50.916692,-31.10538
4145,RS,Muitos Capões,-51.183593,-28.313183
4146,RS,Muliterno,-51.769675,-28.325299
4144,RS,Muçum,-51.871367,-29.163002
4148,RS,Nicolau Vergueiro,-52.467629,-28.529842
4149,RS,Nonoai,-52.775564,-27.368918
4150,RS,Nova Alvorada,-52.16308,-28.682231
4151,RS,Nova Araçá,-51.745802,-28.653741
4152,RS,Nova Bassano,-51.707194,-28.729088
4153,RS,Nova Boa Vista,-52.978377,-27.9926
4154,RS,Nova Bréscia,-52.031862,-29.218186
4155,RS,Nova Candelária,-54.107401,-27.613677
4156,RS,Nova Esperança do Sul,-54.829302,-29.406643
4157,RS,Nova Hartz,-50.905108,-29.580752
4159,RS,Nova Palma,-53.468924,-29.470981
4160,RS,Nova Petrópolis,-51.113552,-29.374112
4161,RS,Nova Prata,-51.611271,-28.779913
4158,RS,Nova Pádua,-51.309752,-29.027509
4162,RS,Nova Ramada,-53.699168,-28.066731
4163,RS,Nova Roma do Sul,-51.409511,-28.988173
4164,RS,Nova Santa Rita,-51.283736,-29.852474
4165,RS,Novo Barreiro,-53.110292,-27.9077
4166,RS,Novo Cabrais,-52.94894,-29.733752
4167,RS,Novo Hamburgo,-51.132828,-29.687548
4168,RS,Novo Machado,-54.503592,-27.576473
4169,RS,Novo Tiradentes,-53.183715,-27.564918
5641,RS,Novo Xingu,-53.063941,-27.749049
4147,RS,Não-Me-Toque,-52.818156,-28.454776
4170,RS,Osório,-50.266713,-29.888089
4171,RS,Paim Filho,-51.762988,-27.707516
4172,RS,Palmares do Sul,-50.510297,-30.253485
4173,RS,Palmeira das Missões,-53.313378,-27.900652
4174,RS,Palmitinho,-53.558029,-27.359574
4175,RS,Panambi,-53.502261,-28.283328
4176,RS,Pantano Grande,-52.372915,-30.190155
4177,RS,Paraí,-51.789602,-28.596384
4178,RS,Paraíso do Sul,-53.144034,-29.671705
4179,RS,Pareci Novo,-51.3974,-29.636538
4180,RS,Parobé,-50.83118,-29.624257
4181,RS,Passa Sete,-52.959945,-29.457667
4183,RS,Passo Fundo,-52.409112,-28.257564
4182,RS,Passo do Sobrado,-52.274758,-29.748041
5647,RS,Paulo Bento,-52.416919,-27.705138
4184,RS,Paverama,-51.733925,-29.548554
5637,RS,Pedras Altas,-53.581437,-31.736539
4185,RS,Pedro Osório,-52.818389,-31.864243
4186,RS,Pejuçara,-53.657854,-28.428256
4187,RS,Pelotas,-52.337058,-31.764898
4188,RS,Picada Café,-51.136725,-29.446421
4189,RS,Pinhal,-53.208185,-27.508022
4190,RS,Pinhal Grande,-53.320649,-29345
5656,RS,Pinhal da Serra,-51.167329,-27.875132
4191,RS,Pinheirinho do Vale,-53.608017,-27.210886
4192,RS,Pinheiro Machado,-53.379789,-31.57944
4193,RS,Pirapó,-55.20013,-28.043888
4194,RS,Piratini,-53.097296,-31.447291
4195,RS,Planalto,-53.05753,-27.329695
4198,RS,Ponte Preta,-52.484817,-27.658692
4197,RS,Pontão,-52.679091,-28.058478
4200,RS,Porto Alegre,-51.206533,-30.031771
4201,RS,Porto Lucena,-55.010028,-27.85688
4202,RS,Porto Mauá,-54.665739,-27.579579
4203,RS,Porto Vera Cruz,-54.89937,-27.740504
4204,RS,Porto Xavier,-55.13791,-27.908182
4199,RS,Portão,-51.242895,-29.701533
4205,RS,Pouso Novo,-52.213588,-29.173793
4196,RS,Poço das Antas,-51.671938,-29.448097
4206,RS,Presidente Lucena,-51.179798,-29.517549
4207,RS,Progresso,-52.319721,-29.244147
4208,RS,Protásio Alves,-51.4757,-28.757189
4209,RS,Putinga,-52.156904,-29.004494
4210,RS,Quaraí,-56.448254,-30.384033
5646,RS,Quatro Irmãos,-52.442417,-27.825684
4211,RS,Quevedos,-54.078915,-29.350413
4212,RS,Quinze de Novembro,-53.101096,-28.746552
4213,RS,Redentora,-53.640668,-27.663954
4214,RS,Relvado,-52.077831,-29.116376
4215,RS,Restinga Seca,-53.380657,-29.818778
4217,RS,Rio Grande,-52.10705,-32.034875
4218,RS,Rio Pardo,-52.37113,-29.98803
4216,RS,Rio dos Índios,-52.841749,-27.29728
4219,RS,Riozinho,-50.448781,-29.638986
4220,RS,Roca Sales,-51.86584,-29.288398
4221,RS,Rodeio Bonito,-53.170583,-27.474203
5630,RS,Rolador,-54.81864,-28.256554
4222,RS,Rolante,-50.581937,-29.64624
4223,RS,Ronda Alta,-52.805587,-27.775799
4224,RS,Rondinha,-52.908107,-27.831451
4225,RS,Roque Gonzales,-55.026609,-28.129681
4226,RS,Rosário do Sul,-54.922106,-30.251483
4227,RS,Sagrada Família,-53.135053,-27.708538
4228,RS,Saldanha Marinho,-53.097006,-28.394081
4229,RS,Salto do Jacuí,-53.213326,-29.095065
4230,RS,Salvador das Missões,-54.837318,-28.123337
4231,RS,Salvador do Sul,-51.507699,-29.438561
4232,RS,Sananduva,-51.807949,-27.947028
4233,RS,Santa Bárbara do Sul,-53.251041,-28.36533
5651,RS,Santa Cecília do Sul,-51.927934,-28.160861
4234,RS,Santa Clara do Sul,-52.08426,-29.47474
4235,RS,Santa Cruz do Sul,-52.434318,-29.722021
5634,RS,Santa Margarida do Sul,-54.081719,-30.339283
4236,RS,Santa Maria,-53.814946,-29.686817
4237,RS,Santa Maria do Herval,-50.991917,-29.490163
4240,RS,Santa Rosa,-54.479629,-27.8702
4241,RS,Santa Tereza,-51.735066,-29.165467
4242,RS,Santa Vitória do Palmar,-53.371692,-33.52498
4238,RS,Santana da Boa Vista,-53.109981,-30.869738
4239,RS,Santana do Livramento,-55.531467,-30.88772
4243,RS,Santiago,-54.866624,-29.189675
4245,RS,Santo Antônio da Patrulha,-50.517489,-29.826768
4246,RS,Santo Antônio das Missões,-55.225077,-28.513977
4247,RS,Santo Antônio do Palma,-52.026701,-28.495554
4248,RS,Santo Antônio do Planalto,-52.699233,-28.403046
4249,RS,Santo Augusto,-53.777605,-27.852577
4250,RS,Santo Cristo,-54.661963,-27.826259
4251,RS,Santo Expedito do Sul,-51.643352,-27.907439
4244,RS,Santo Ângelo,-54.266781,-28.300128
4287,RS,Sapiranga,-51.006446,-29.634885
4288,RS,Sapucaia do Sul,-51.144975,-29.827575
4289,RS,Sarandi,-52.923085,-27942
4290,RS,Seberi,-53.402634,-27.482861
4291,RS,Sede Nova,-53.94929,-27.636739
4292,RS,Segredo,-52.976673,-29.352337
4293,RS,Selbach,-52.949768,-28.629435
4294,RS,Senador Salgado Filho,-54.550717,-28.025007
4295,RS,Sentinela do Sul,-51.586154,-30.610707
4296,RS,Serafina Corrêa,-51.93525,-28.712621
4298,RS,Sertão,-52.25878,-27.979782
4299,RS,Sertão Santana,-51.601694,-30.456183
4300,RS,Sete de Setembro,-54.463682,-28.136169
4301,RS,Severiano de Almeida,-52.121704,-27.436202
4302,RS,Silveira Martins,-53.591018,-29.646741
4303,RS,Sinimbu,-52.530449,-29.535659
